record_id,drug_name,week_number,year,units_produced,units_sold,units_in_warehouse,raw_material_cost_per_unit,manufacturing_cost_per_unit,total_cogs_usd
PROD_00027,VEXORIN,27,2021,4204,3151,40863,182.52,312.93,2082871.8
PROD_00028,VEXORIN,28,2021,3827,2473,42217,189.95,310.25,1914265.4
PROD_00029,VEXORIN,29,2021,3922,2726,43413,175.72,323.23,1956881.9
PROD_00030,VEXORIN,30,2021,4023,2801,44635,178.19,319.66,2002850.55
PROD_00031,VEXORIN,31,2021,3874,2471,46038,181.71,319.08,1940060.46
PROD_00032,VEXORIN,32,2021,4354,2838,47554,176.78,312.39,2129846.18
PROD_00033,VEXORIN,33,2021,4111,3049,48616,175.07,334.62,2095335.59
PROD_00034,VEXORIN,34,2021,4293,2426,50483,182.65,333.93,2217677.94
PROD_00035,VEXORIN,35,2021,4170,3061,51592,184.05,316.61,2087752.2
PROD_00036,VEXORIN,36,2021,4146,3091,52647,178.0,328.06,2098124.76
PROD_00037,VEXORIN,37,2021,3809,2195,54261,178.05,310.79,1861991.56
PROD_00038,VEXORIN,38,2021,3814,2648,55427,179.73,321.16,1910394.46
PROD_00039,VEXORIN,39,2021,4119,2922,56624,181.37,327.77,2097147.66
PROD_00040,VEXORIN,40,2021,4223,3046,57801,176.31,334.1,2155461.43
PROD_00041,VEXORIN,41,2021,4380,2639,59542,184.18,328.16,2244049.2
PROD_00042,VEXORIN,42,2021,3879,2390,61031,183.94,312.6,1926078.66
PROD_00043,VEXORIN,43,2021,4070,3004,62097,180.23,313.45,2009277.6
PROD_00044,VEXORIN,44,2021,3833,2287,63643,180.07,332.1,1963147.61
PROD_00045,VEXORIN,45,2021,4071,2937,64777,184.89,314.85,2034441.54
PROD_00046,VEXORIN,46,2021,4062,2275,66564,183.46,312.85,2016011.22
PROD_00047,VEXORIN,47,2021,4084,2901,67747,177.87,313.71,2007612.72
PROD_00048,VEXORIN,48,2021,4168,2383,69532,186.48,319.01,2106882.32
PROD_00049,VEXORIN,49,2021,4260,2708,71084,181.78,322.82,2149596.0
PROD_00050,VEXORIN,50,2021,4196,2558,72722,180.16,317.91,2089901.72
PROD_00051,VEXORIN,51,2021,4000,2699,74023,181.17,314.43,1982400.0
PROD_00052,VEXORIN,52,2021,3894,2791,75126,179.68,320.11,1946182.26
PROD_00053,VEXORIN,53,2022,4502,2693,76935,189.31,327.65,2327353.92
PROD_00054,VEXORIN,54,2022,4462,3165,78232,187.36,313.87,2236488.26
PROD_00055,VEXORIN,55,2022,4060,2784,79508,187.06,320.3,2059881.6
PROD_00056,VEXORIN,56,2022,4476,2847,81137,181.2,327.5,2276941.2
PROD_00057,VEXORIN,57,2022,4039,3000,82176,175.57,324.64,2020348.19
PROD_00058,VEXORIN,58,2022,4192,2504,83864,187.8,320.43,2130500.16
PROD_00059,VEXORIN,59,2022,4033,2798,85099,187.56,324.98,2067073.82
PROD_00060,VEXORIN,60,2022,4189,2383,86905,184.53,316.23,2097683.64
PROD_00061,VEXORIN,61,2022,4225,2574,88556,179.06,312.85,2078319.75
PROD_00062,VEXORIN,62,2022,4225,2375,90406,183.56,326.13,2153440.25
PROD_00063,VEXORIN,63,2022,4518,2934,91990,176.77,311.15,2204422.56
PROD_00064,VEXORIN,64,2022,4430,2460,93960,188.51,315.41,2232365.6
PROD_00065,VEXORIN,65,2022,4180,2335,95805,184.43,313.36,2080762.2
PROD_00066,VEXORIN,66,2022,4185,2455,97535,188.24,328.27,2161594.35
PROD_00067,VEXORIN,67,2022,4599,2571,99563,177.82,317.09,2276091.09
PROD_00068,VEXORIN,68,2022,4130,2336,101357,181.03,322.93,2081354.8
PROD_00069,VEXORIN,69,2022,4234,3030,102561,180.32,322.29,2128050.74
PROD_00070,VEXORIN,70,2022,4627,2632,104556,180.79,324.15,2336357.38
PROD_00071,VEXORIN,71,2022,4665,2831,106390,186.42,319.95,2362216.05
PROD_00072,VEXORIN,72,2022,4295,3030,107655,179.74,321.37,2152267.45
PROD_00073,VEXORIN,73,2022,4301,2811,109145,176.49,318.92,2130758.41
PROD_00074,VEXORIN,74,2022,4508,3280,110373,186.66,319.48,2281679.12
PROD_00075,VEXORIN,75,2022,4108,2459,112022,176.37,324.02,2055602.12
PROD_00076,VEXORIN,76,2022,4133,2279,113876,175.16,311.0,2009299.28
PROD_00077,VEXORIN,77,2022,4486,2485,115877,188.47,310.24,2237213.06
PROD_00078,VEXORIN,78,2022,4168,2953,117092,177.51,318.32,2066619.44
PROD_00079,VEXORIN,79,2022,4485,2672,118905,180.76,329.18,2287080.9
PROD_00080,VEXORIN,80,2022,4620,2778,120747,180.74,325.54,2339013.6
PROD_00081,VEXORIN,81,2022,4369,3050,122066,183.57,314.31,2175237.72
PROD_00082,VEXORIN,82,2022,4312,2892,123486,176.88,312.29,2109301.04
PROD_00083,VEXORIN,83,2022,4247,2496,125237,186.51,315.6,2132461.17
PROD_00084,VEXORIN,84,2022,4366,3115,126488,175.48,328.7,2201249.88
PROD_00085,VEXORIN,85,2022,4745,2813,128420,178.99,326.34,2397790.85
PROD_00086,VEXORIN,86,2022,4358,3260,129518,180.14,312.36,2146315.0
PROD_00087,VEXORIN,87,2022,4700,3478,130740,187.24,332.71,2443765.0
PROD_00088,VEXORIN,88,2022,4627,3001,132366,178.05,310.51,2260567.12
PROD_00089,VEXORIN,89,2022,4727,3544,133549,176.98,328.31,2388505.83
PROD_00090,VEXORIN,90,2022,4309,2545,135313,177.92,325.86,2170788.02
PROD_00091,VEXORIN,91,2022,4476,3203,136586,189.36,316.17,2262752.28
PROD_00092,VEXORIN,92,2022,4434,3063,137957,186.68,318.46,2239790.76
PROD_00093,VEXORIN,93,2022,4408,3210,139155,179.22,311.0,2160889.76
PROD_00094,VEXORIN,94,2022,4494,3072,140577,181.33,330.6,2300613.42
PROD_00095,VEXORIN,95,2022,4701,2783,142495,185.53,333.06,2437891.59
PROD_00096,VEXORIN,96,2022,4546,3245,143796,183.81,327.55,2324642.56
PROD_00097,VEXORIN,97,2022,4838,2676,145958,182.72,319.71,2430756.34
PROD_00098,VEXORIN,98,2022,4474,3158,147274,187.96,331.05,2322050.74
PROD_00099,VEXORIN,99,2022,4743,3303,148714,187.86,326.08,2437617.42
PROD_00100,VEXORIN,100,2022,4531,3000,150245,179.13,323.95,2279455.48
PROD_00101,VEXORIN,101,2022,4423,2984,151684,189.09,332.13,2305356.06
PROD_00102,VEXORIN,102,2022,4557,3097,153144,187.05,319.82,2309806.59
PROD_00103,VEXORIN,103,2022,4635,2901,154878,178.85,333.87,2376457.2
PROD_00104,VEXORIN,104,2022,4639,2985,156532,183.67,324.82,2358885.11
PROD_00105,AURONIX,1,2024,4289,2888,6401,183.42,317.22,2147244.96
PROD_00106,AURONIX,2,2024,4025,2885,7541,183.19,311.39,1990684.5
PROD_00107,AURONIX,3,2024,4377,2900,9018,188.03,310.13,2180446.32
PROD_00108,AURONIX,4,2024,4030,3143,9905,183.79,320.66,2032933.5
PROD_00109,AURONIX,5,2024,4070,3275,10700,177.77,334.38,2084450.5
PROD_00110,AURONIX,6,2024,4367,3188,11879,179.42,313.06,2150660.16
PROD_00111,AURONIX,7,2024,4156,3364,12671,183.26,319.58,2089803.04
PROD_00112,AURONIX,8,2024,3950,2896,13725,185.2,323.4,2008970.0
PROD_00113,AURONIX,9,2024,4480,3704,14501,185.25,334.82,2329913.6
PROD_00114,AURONIX,10,2024,4121,2782,15840,186.99,321.09,2093797.68
PROD_00115,AURONIX,11,2024,4246,2982,17104,186.97,313.69,2125802.36
PROD_00116,AURONIX,12,2024,4279,2932,18451,189.83,331.42,2230428.75
PROD_00117,AURONIX,13,2024,4424,3217,19658,179.48,328.58,2247657.44
PROD_00118,AURONIX,14,2024,4048,3079,20627,181.74,332.41,2081279.2
PROD_00119,AURONIX,15,2024,4167,3262,21532,181.42,324.87,2109710.43
PROD_00120,AURONIX,16,2024,4347,3038,22841,186.51,315.08,2180411.73
PROD_00121,AURONIX,17,2024,4005,3368,23478,175.77,319.86,1984998.15
PROD_00122,AURONIX,18,2024,4404,3571,24311,183.91,319.8,2218338.84
PROD_00123,AURONIX,19,2024,4199,3422,25088,189.01,327.82,2170169.17
PROD_00124,AURONIX,20,2024,4659,3772,25975,177.99,330.75,2370219.66
