intel_id,territory_id,week_number,zylatec_estimated_calls,zylatec_market_share_pct,vexorin_market_share_pct,launch_phase,data_source
INTEL_000137,TER_NO_02,13,48,43.39,22.3,CURRENT_LAUNCH,IQVIA
INTEL_000138,TER_NO_02,14,52,44.35,19.84,CURRENT_LAUNCH,IQVIA
INTEL_000139,TER_NO_02,15,45,46.79,21.93,CURRENT_LAUNCH,Symphony Health
INTEL_000140,TER_NO_02,16,49,47.26,17.73,CURRENT_LAUNCH,IQVIA
INTEL_000141,TER_NO_02,17,41,48.29,22.03,CURRENT_LAUNCH,IQVIA
INTEL_000142,TER_NO_02,18,49,46.38,21.49,CURRENT_LAUNCH,IQVIA
INTEL_000143,TER_NO_02,19,50,43.65,19.8,CURRENT_LAUNCH,IQVIA
INTEL_000144,TER_NO_02,20,41,47.92,16.62,CURRENT_LAUNCH,IQVIA
INTEL_000145,TER_NO_03,1,26,23.21,32.06,LAST_LAUNCH,IQVIA
INTEL_000146,TER_NO_03,2,25,23.89,34.14,LAST_LAUNCH,IQVIA
INTEL_000147,TER_NO_03,3,30,25.96,33.41,LAST_LAUNCH,IQVIA
INTEL_000148,TER_NO_03,4,28,26.06,28.07,LAST_LAUNCH,Symphony Health
INTEL_000149,TER_NO_03,5,25,29.14,24.17,LAST_LAUNCH,Symphony Health
INTEL_000150,TER_NO_03,6,25,26.99,30.54,LAST_LAUNCH,IQVIA
INTEL_000151,TER_NO_03,7,27,28.05,25.57,LAST_LAUNCH,Symphony Health
INTEL_000152,TER_NO_03,8,26,31.51,25.37,LAST_LAUNCH,Symphony Health
INTEL_000153,TER_NO_03,9,19,33.73,25.12,LAST_LAUNCH,IQVIA
INTEL_000154,TER_NO_03,10,24,32.22,26.03,LAST_LAUNCH,IQVIA
INTEL_000155,TER_NO_03,11,24,31.89,19.22,LAST_LAUNCH,IQVIA
INTEL_000156,TER_NO_03,12,21,32.38,23.77,LAST_LAUNCH,Symphony Health
INTEL_000157,TER_NO_03,13,20,34.39,17.92,LAST_LAUNCH,Symphony Health
INTEL_000158,TER_NO_03,14,24,34.64,23.93,LAST_LAUNCH,IQVIA
INTEL_000159,TER_NO_03,15,20,31.75,26.55,LAST_LAUNCH,IQVIA
INTEL_000160,TER_NO_03,16,23,35.16,18.05,LAST_LAUNCH,IQVIA
INTEL_000161,TER_NO_03,17,24,34.39,20.5,LAST_LAUNCH,IQVIA
INTEL_000162,TER_NO_03,18,23,36.29,15.89,LAST_LAUNCH,Symphony Health
INTEL_000163,TER_NO_03,19,19,32.58,20.09,LAST_LAUNCH,IQVIA
INTEL_000164,TER_NO_03,20,23,32.62,20.12,LAST_LAUNCH,Symphony Health
INTEL_000165,TER_NO_03,21,23,35.3,20.75,LAST_LAUNCH,Symphony Health
INTEL_000166,TER_NO_03,22,22,35.78,19.82,LAST_LAUNCH,IQVIA
INTEL_000167,TER_NO_03,23,24,32.15,19.12,LAST_LAUNCH,IQVIA
INTEL_000168,TER_NO_03,24,20,31.21,19.23,LAST_LAUNCH,IQVIA
INTEL_000169,TER_NO_03,25,25,32.1,23.53,LAST_LAUNCH,Symphony Health
INTEL_000170,TER_NO_03,26,21,33.34,19.2,LAST_LAUNCH,IQVIA
INTEL_000171,TER_NO_03,27,18,31.78,23.89,LAST_LAUNCH,IQVIA
INTEL_000172,TER_NO_03,28,19,31.13,24.33,LAST_LAUNCH,IQVIA
INTEL_000173,TER_NO_03,29,21,34.77,18.12,LAST_LAUNCH,Symphony Health
INTEL_000174,TER_NO_03,30,24,36.4,13.94,LAST_LAUNCH,IQVIA
INTEL_000175,TER_NO_03,31,21,33.96,20.42,LAST_LAUNCH,IQVIA
INTEL_000176,TER_NO_03,32,21,36.54,15.89,LAST_LAUNCH,IQVIA
INTEL_000177,TER_NO_03,33,21,30.77,27.47,LAST_LAUNCH,IQVIA
INTEL_000178,TER_NO_03,34,18,31.87,26.35,LAST_LAUNCH,IQVIA
INTEL_000179,TER_NO_03,35,23,33.51,20.43,LAST_LAUNCH,Symphony Health
INTEL_000180,TER_NO_03,36,24,35.9,16.24,LAST_LAUNCH,IQVIA
INTEL_000181,TER_NO_03,37,22,33.32,26.14,LAST_LAUNCH,IQVIA
INTEL_000182,TER_NO_03,38,19,30.88,23.45,LAST_LAUNCH,IQVIA
INTEL_000183,TER_NO_03,39,22,33.5,25.17,LAST_LAUNCH,IQVIA
INTEL_000184,TER_NO_03,40,25,31.43,27.64,LAST_LAUNCH,Symphony Health
INTEL_000185,TER_NO_03,41,21,32.21,26.48,LAST_LAUNCH,IQVIA
INTEL_000186,TER_NO_03,42,19,34.82,19.3,LAST_LAUNCH,Symphony Health
INTEL_000187,TER_NO_03,43,23,33.59,20.79,LAST_LAUNCH,IQVIA
INTEL_000188,TER_NO_03,44,19,30.81,21.27,LAST_LAUNCH,IQVIA
INTEL_000189,TER_NO_03,45,21,36.35,14.48,LAST_LAUNCH,Symphony Health
INTEL_000190,TER_NO_03,46,24,32.54,17.59,LAST_LAUNCH,Symphony Health
INTEL_000191,TER_NO_03,47,25,32.71,26.74,LAST_LAUNCH,IQVIA
INTEL_000192,TER_NO_03,48,21,35.01,17.97,LAST_LAUNCH,IQVIA
INTEL_000193,TER_NO_03,49,20,33.29,22.69,LAST_LAUNCH,IQVIA
INTEL_000194,TER_NO_03,50,21,36.43,21.57,LAST_LAUNCH,Symphony Health
INTEL_000195,TER_NO_03,51,21,32.04,25.15,LAST_LAUNCH,IQVIA
INTEL_000196,TER_NO_03,52,24,36.46,23.43,LAST_LAUNCH,Symphony Health
INTEL_000197,TER_NO_03,1,42,21.76,38.5,CURRENT_LAUNCH,Symphony Health
INTEL_000198,TER_NO_03,2,37,23.84,36.2,CURRENT_LAUNCH,Symphony Health
INTEL_000199,TER_NO_03,3,39,24.95,29.19,CURRENT_LAUNCH,Symphony Health
INTEL_000200,TER_NO_03,4,36,24.22,36.2,CURRENT_LAUNCH,IQVIA
INTEL_000201,TER_NO_03,5,38,26.98,31.89,CURRENT_LAUNCH,IQVIA
INTEL_000202,TER_NO_03,6,40,27.3,33.8,CURRENT_LAUNCH,IQVIA
INTEL_000203,TER_NO_03,7,40,30.93,28.43,CURRENT_LAUNCH,IQVIA
INTEL_000204,TER_NO_03,8,41,28.83,30.01,CURRENT_LAUNCH,Symphony Health
INTEL_000205,TER_NO_03,9,29,33.18,28.21,CURRENT_LAUNCH,IQVIA
INTEL_000206,TER_NO_03,10,32,30.01,29.44,CURRENT_LAUNCH,IQVIA
INTEL_000207,TER_NO_03,11,33,32.75,31.18,CURRENT_LAUNCH,IQVIA
INTEL_000208,TER_NO_03,12,35,34.73,30.85,CURRENT_LAUNCH,IQVIA
INTEL_000209,TER_NO_03,13,34,32.24,29.25,CURRENT_LAUNCH,IQVIA
INTEL_000210,TER_NO_03,14,34,32.3,26.18,CURRENT_LAUNCH,IQVIA
INTEL_000211,TER_NO_03,15,27,30.55,33.04,CURRENT_LAUNCH,IQVIA
INTEL_000212,TER_NO_03,16,36,30.6,33.03,CURRENT_LAUNCH,IQVIA
INTEL_000213,TER_NO_03,17,32,30.74,33.16,CURRENT_LAUNCH,IQVIA
INTEL_000214,TER_NO_03,18,27,32.11,27.64,CURRENT_LAUNCH,IQVIA
INTEL_000215,TER_NO_03,19,30,33.7,29.35,CURRENT_LAUNCH,IQVIA
INTEL_000216,TER_NO_03,20,31,30.89,28.65,CURRENT_LAUNCH,IQVIA
INTEL_000217,TER_SO_01,1,46,35.06,22.1,LAST_LAUNCH,IQVIA
INTEL_000218,TER_SO_01,2,46,36.25,16.38,LAST_LAUNCH,IQVIA
INTEL_000219,TER_SO_01,3,51,36.66,19.72,LAST_LAUNCH,IQVIA
INTEL_000220,TER_SO_01,4,56,38.56,13.51,LAST_LAUNCH,Symphony Health
INTEL_000221,TER_SO_01,5,55,38.91,20.18,LAST_LAUNCH,IQVIA
INTEL_000222,TER_SO_01,6,55,38.97,20.96,LAST_LAUNCH,Symphony Health
INTEL_000223,TER_SO_01,7,54,43.59,9.07,LAST_LAUNCH,IQVIA
INTEL_000224,TER_SO_01,8,53,45.55,13.6,LAST_LAUNCH,IQVIA
INTEL_000225,TER_SO_01,9,43,44.6,6.23,LAST_LAUNCH,IQVIA
INTEL_000226,TER_SO_01,10,39,43.28,11.81,LAST_LAUNCH,IQVIA
INTEL_000227,TER_SO_01,11,34,43.64,12.25,LAST_LAUNCH,IQVIA
INTEL_000228,TER_SO_01,12,37,46.96,5.0,LAST_LAUNCH,Symphony Health
INTEL_000229,TER_SO_01,13,44,44.12,8.29,LAST_LAUNCH,IQVIA
INTEL_000230,TER_SO_01,14,35,45.43,11.99,LAST_LAUNCH,IQVIA
INTEL_000231,TER_SO_01,15,40,46.26,6.23,LAST_LAUNCH,IQVIA
INTEL_000232,TER_SO_01,16,38,48.26,10.82,LAST_LAUNCH,Symphony Health
INTEL_000233,TER_SO_01,17,45,46.55,6.07,LAST_LAUNCH,Symphony Health
INTEL_000234,TER_SO_01,18,37,48.18,5.0,LAST_LAUNCH,Symphony Health
INTEL_000235,TER_SO_01,19,42,47.57,5.0,LAST_LAUNCH,IQVIA
INTEL_000236,TER_SO_01,20,36,45.71,7.07,LAST_LAUNCH,IQVIA
INTEL_000237,TER_SO_01,21,45,42.88,8.93,LAST_LAUNCH,IQVIA
INTEL_000238,TER_SO_01,22,45,43.74,6.97,LAST_LAUNCH,Symphony Health
INTEL_000239,TER_SO_01,23,36,42.76,12.23,LAST_LAUNCH,IQVIA
INTEL_000240,TER_SO_01,24,36,48.19,5.0,LAST_LAUNCH,Symphony Health
INTEL_000241,TER_SO_01,25,43,43.25,8.79,LAST_LAUNCH,IQVIA
INTEL_000242,TER_SO_01,26,45,46.5,10.6,LAST_LAUNCH,IQVIA
INTEL_000243,TER_SO_01,27,36,43.41,7.17,LAST_LAUNCH,Symphony Health
INTEL_000244,TER_SO_01,28,37,45.81,7.93,LAST_LAUNCH,IQVIA
INTEL_000245,TER_SO_01,29,46,45.63,9.3,LAST_LAUNCH,IQVIA
INTEL_000246,TER_SO_01,30,36,44.77,6.95,LAST_LAUNCH,IQVIA
INTEL_000247,TER_SO_01,31,46,46.68,5.0,LAST_LAUNCH,IQVIA
INTEL_000248,TER_SO_01,32,34,47.89,5.0,LAST_LAUNCH,IQVIA
INTEL_000249,TER_SO_01,33,38,44.24,15.23,LAST_LAUNCH,Symphony Health
INTEL_000250,TER_SO_01,34,44,47.9,8.85,LAST_LAUNCH,Symphony Health
INTEL_000251,TER_SO_01,35,35,45.84,9.79,LAST_LAUNCH,Symphony Health
INTEL_000252,TER_SO_01,36,39,43.03,7.03,LAST_LAUNCH,IQVIA
INTEL_000253,TER_SO_01,37,36,44.86,5.6,LAST_LAUNCH,IQVIA
INTEL_000254,TER_SO_01,38,41,46.14,10.35,LAST_LAUNCH,IQVIA
INTEL_000255,TER_SO_01,39,47,45.39,9.6,LAST_LAUNCH,IQVIA
INTEL_000256,TER_SO_01,40,42,44.07,6.54,LAST_LAUNCH,IQVIA
INTEL_000257,TER_SO_01,41,45,46.75,7.99,LAST_LAUNCH,Symphony Health
INTEL_000258,TER_SO_01,42,44,44.04,11.66,LAST_LAUNCH,Symphony Health
INTEL_000259,TER_SO_01,43,42,48.32,5.0,LAST_LAUNCH,IQVIA
INTEL_000260,TER_SO_01,44,35,47.57,5.0,LAST_LAUNCH,IQVIA
INTEL_000261,TER_SO_01,45,35,45.96,8.05,LAST_LAUNCH,IQVIA
INTEL_000262,TER_SO_01,46,43,43.28,10.9,LAST_LAUNCH,IQVIA
INTEL_000263,TER_SO_01,47,42,43.18,15.48,LAST_LAUNCH,IQVIA
INTEL_000264,TER_SO_01,48,42,47.97,6.19,LAST_LAUNCH,IQVIA
INTEL_000265,TER_SO_01,49,38,47.76,6.18,LAST_LAUNCH,Symphony Health
INTEL_000266,TER_SO_01,50,40,48.52,7.66,LAST_LAUNCH,Symphony Health
INTEL_000267,TER_SO_01,51,44,44.42,7.06,LAST_LAUNCH,Symphony Health
INTEL_000268,TER_SO_01,52,35,45.96,10.31,LAST_LAUNCH,IQVIA
INTEL_000269,TER_SO_01,1,42,33.39,29.9,CURRENT_LAUNCH,Symphony Health
INTEL_000270,TER_SO_01,2,49,35.04,29.08,CURRENT_LAUNCH,IQVIA
INTEL_000271,TER_SO_01,3,52,35.03,30.6,CURRENT_LAUNCH,Symphony Health
INTEL_000272,TER_SO_01,4,44,35.46,30.41,CURRENT_LAUNCH,IQVIA
INTEL_000273,TER_SO_01,5,44,37.59,28.51,CURRENT_LAUNCH,Symphony Health
INTEL_000274,TER_SO_01,6,51,37.75,23.15,CURRENT_LAUNCH,Symphony Health
INTEL_000275,TER_SO_01,7,42,42.34,24.23,CURRENT_LAUNCH,IQVIA
INTEL_000276,TER_SO_01,8,47,38.75,26.82,CURRENT_LAUNCH,IQVIA
INTEL_000277,TER_SO_01,9,37,41.36,21.96,CURRENT_LAUNCH,Symphony Health
INTEL_000278,TER_SO_01,10,41,43.03,25.25,CURRENT_LAUNCH,IQVIA
INTEL_000279,TER_SO_01,11,33,47.06,22.89,CURRENT_LAUNCH,IQVIA
INTEL_000280,TER_SO_01,12,37,47.11,16.36,CURRENT_LAUNCH,Symphony Health
INTEL_000281,TER_SO_01,13,41,46.97,22.79,CURRENT_LAUNCH,IQVIA
INTEL_000282,TER_SO_01,14,34,45.11,17.74,CURRENT_LAUNCH,IQVIA
INTEL_000283,TER_SO_01,15,43,45.74,20.36,CURRENT_LAUNCH,IQVIA
INTEL_000284,TER_SO_01,16,43,44.08,23.72,CURRENT_LAUNCH,Symphony Health
INTEL_000285,TER_SO_01,17,34,45.42,21.06,CURRENT_LAUNCH,Symphony Health
INTEL_000286,TER_SO_01,18,43,42.17,20.02,CURRENT_LAUNCH,Symphony Health
INTEL_000287,TER_SO_01,19,42,42.41,23.83,CURRENT_LAUNCH,IQVIA
INTEL_000288,TER_SO_01,20,39,44.06,19.78,CURRENT_LAUNCH,Symphony Health
INTEL_000289,TER_SO_02,1,42,21.73,28.76,LAST_LAUNCH,IQVIA
INTEL_000290,TER_SO_02,2,42,22.21,32.2,LAST_LAUNCH,IQVIA
INTEL_000291,TER_SO_02,3,43,24.02,32.37,LAST_LAUNCH,IQVIA
INTEL_000292,TER_SO_02,4,40,25.19,32.35,LAST_LAUNCH,Symphony Health
INTEL_000293,TER_SO_02,5,35,27.56,22.8,LAST_LAUNCH,Symphony Health
INTEL_000294,TER_SO_02,6,36,28.86,24.61,LAST_LAUNCH,IQVIA
INTEL_000295,TER_SO_02,7,36,26.36,30.9,LAST_LAUNCH,IQVIA
INTEL_000296,TER_SO_02,8,42,27.14,32.1,LAST_LAUNCH,IQVIA
INTEL_000297,TER_SO_02,9,28,31.86,24.45,LAST_LAUNCH,IQVIA
INTEL_000298,TER_SO_02,10,33,30.46,22.15,LAST_LAUNCH,Symphony Health
INTEL_000299,TER_SO_02,11,31,31.06,20.11,LAST_LAUNCH,IQVIA
INTEL_000300,TER_SO_02,12,28,34.31,20.0,LAST_LAUNCH,IQVIA
INTEL_000301,TER_SO_02,13,32,34.22,25.21,LAST_LAUNCH,IQVIA
INTEL_000302,TER_SO_02,14,26,33.83,25.35,LAST_LAUNCH,IQVIA
